Venue Category;Aggregated Category
Mexican Restaurant;Restaurant
Smoke Shop;Store
Hot Dog Joint;Casual Food
Bar;Bar
Indian Restaurant;Restaurant
Vietnamese Restaurant;Restaurant
Fast Food Restaurant;Restaurant
Farmers Market;Groceries
Coffee Shop;Soft Drinks
Cupcake Shop;Casual Food
Gastropub;Bar
Clothing Store;Store
BBQ Joint;Casual Food
Sandwich Place;Casual Food
Italian Restaurant;Restaurant
Movie Theater;Entertainment
Weight Loss Center;Sports
Brewery;Bar
Thai Restaurant;Restaurant
Filipino Restaurant;Restaurant
Burger Joint;Casual Food
Sushi Restaurant;Restaurant
Pizza Place;Casual Food
ATM;Legal and Financial
Wings Joint;Casual Food
Shipping Store;Store
Hotel;Hotel
Automotive Shop;Other
Cajun / Creole Restaurant;Restaurant
American Restaurant;Restaurant
Dessert Shop;Casual Food
Gym / Fitness Center;Sports
Asian Restaurant;Restaurant
Ramen Restaurant;Restaurant
Grocery Store;Groceries
Bank;Legal and Financial
Pharmacy;Health Services
Chinese Restaurant;Restaurant
Flower Shop;Store
Gym;Sports
Breakfast Spot;Casual Food
Salon / Barbershop;Beauty
Mobile Phone Shop;Store
Gas Station;Other
Business Service;Legal and Financial
Trail;Sports
Café;Soft Drinks
Lounge;Soft Drinks
Tea Room;Soft Drinks
History Museum;Entertainment
Sports Bar;Bar
New American Restaurant;Restaurant
Pub;Bar
Bakery;Casual Food
Wine Bar;Bar
Restaurant;Restaurant
Ice Cream Shop;Casual Food
Massage Studio;Sports
Tapas Restaurant;Restaurant
Vegetarian / Vegan Restaurant;Restaurant
Music Venue;Entertainment
Theater;Entertainment
Brazilian Restaurant;Restaurant
Latin American Restaurant;Restaurant
Dog Run;Sports
Bookstore;Store
Jazz Club;Bar
Comic Shop;Store
Salad Place;Casual Food
French Restaurant;Restaurant
Yoga Studio;Sports
Bubble Tea Shop;Soft Drinks
Udon Restaurant;Restaurant
Intersection;Other
Playground;Sports
Taco Place;Casual Food
Liquor Store;Bar
Laundromat;Laundry
Bus Stop;Public Transport
Japanese Restaurant;Restaurant
Wine Shop;Bar
Japanese Curry Restaurant;Restaurant
Diner;Casual Food
Greek Restaurant;Restaurant
Korean Restaurant;Restaurant
Steakhouse;Casual Food
Thrift / Vintage Store;Store
Boutique;Store
Cocktail Bar;Bar
Beer Bar;Bar
Food;Casual Food
Used Bookstore;Store
Cosmetics Shop;Store
Frozen Yogurt Shop;Casual Food
Candy Store;Casual Food
Karaoke Bar;Bar
Donut Shop;Casual Food
Park;Sports
Arcade;Entertainment
Record Shop;Store
Sporting Goods Shop;Store
Convenience Store;Store
Tailor Shop;Store
Home Service;Other
Recording Studio;Entertainment
Plaza;Other
Peruvian Restaurant;Restaurant
Nail Salon;Beauty
Mediterranean Restaurant;Restaurant
Fried Chicken Joint;Casual Food
Tattoo Parlor;Beauty
Satay Restaurant;Restaurant
Himalayan Restaurant;Restaurant
Food Truck;Casual Food
Discount Store;Store
Locksmith;Store
Deli / Bodega;Groceries
Furniture / Home Store;Store
Middle Eastern Restaurant;Restaurant
Spa;Sports
Department Store;Store
Supplement Shop;Store
Miscellaneous Shop;Store
Big Box Store;Store
Mattress Store;Store
Eye Doctor;Health Services
Athletics & Sports;Sports
Supermarket;Groceries
Southern / Soul Food Restaurant;Restaurant
Video Store;Store
Post Office;Other
Martial Arts School;Sports
Juice Bar;Soft Drinks
Bagel Shop;Casual Food
Burmese Restaurant;Restaurant
Pet Store;Store
Historic Site;Entertainment
Bowling Alley;Sports
Arts & Crafts Store;Store
Hockey Arena;Sports
Shoe Store;Store
Garden;Sports
Electronics Store;Store
Health & Beauty Service;Beauty
Music Store;Store
Men's Store;Store
Comedy Club;Entertainment
Dry Cleaner;Laundry
Market;Groceries
Library;Entertainment
Pool;Sports
Baseball Field;Sports
Creperie;Casual Food
Video Game Store;Store
Community Center;Entertainment
Street Food Gathering;Casual Food
Falafel Restaurant;Restaurant
Surf Spot;Sports
Skate Park;Sports
Train Station;Public Transport
Parking;Other
Bay;Sports
Construction & Landscaping;Other
Fondue Restaurant;Restaurant
Dive Bar;Bar
Smoothie Shop;Soft Drinks
Winery;Bar
Afghan Restaurant;Restaurant
Fountain;Soft Drinks
Lingerie Store;Store
Dance Studio;Sports
Food & Drink Shop;Casual Food
Spanish Restaurant;Restaurant
Gourmet Shop;Casual Food
Toy / Game Store;Store
Knitting Store;Store
Hardware Store;Store
Design Studio;Other
Noodle House;Casual Food
Seafood Restaurant;Restaurant
Dim Sum Restaurant;Restaurant
Fish & Chips Shop;Casual Food
Track Stadium;Sports
Theme Restaurant;Restaurant
Moving Target;Entertainment
Fish Market;Groceries
Mongolian Restaurant;Restaurant
Optical Shop;Health Services
Andhra Restaurant;Restaurant
Dumpling Restaurant;Restaurant
Malay Restaurant;Restaurant
Hawaiian Restaurant;Restaurant
Hunan Restaurant;Restaurant
Bus Station;Public Transport
Concert Hall;Entertainment
Salsa Club;Sports
Tourist Information Center;Other
Performing Arts Venue;Entertainment
Antique Shop;Store
Chocolate Shop;Casual Food
Art Gallery;Entertainment
Roof Deck;Entertainment
Opera House;Entertainment
Waterfront;Sports
Women's Store;Store
Hotel Bar;Bar
Indie Movie Theater;Entertainment
Bed & Breakfast;Hotel
Pool Hall;Sports
Rental Car Location;Other
Gift Shop;Store
Hobby Shop;Store
Shopping Plaza;Store
Insurance Office;Legal and Financial
Israeli Restaurant;Restaurant
Caribbean Restaurant;Restaurant
Burrito Place;Casual Food
Accessories Store;Store
Bus Line;Public Transport
Doner Restaurant;Restaurant
Multiplex;Entertainment
Beer Garden;Bar
Shopping Mall;Store
Speakeasy;Bar
Financial or Legal Service;Legal and Financial
River;Sports
Metro Station;Public Transport
Dentist's Office;Health Services
Kids Store;Store
Paper / Office Supplies Store;Store
Gym Pool;Sports
Paintball Field;Sports
Scandinavian Restaurant;Restaurant
Gelato Shop;Casual Food
German Restaurant;Restaurant
Football Stadium;Sports
Motel;Hotel
Auditorium;Entertainment
Golf Driving Range;Sports
Golf Course;Sports
Shop & Service;Store
Bistro;Restaurant
Food Court;Casual Food
African Restaurant;Restaurant
Hotpot Restaurant;Restaurant
Fabric Shop;Store
Dive Shop;Store
Stadium;Sports
Church;Other
Nightclub;Bar
Lawyer;Legal and Financial
Camera Store;Store
Kitchen Supply Store;Store
Art Museum;Entertainment
Argentinian Restaurant;Restaurant
City Hall;Legal and Financial
Jewelry Store;Store
North Indian Restaurant;Restaurant
Tennis Court;Sports
Auto Garage;Other
Beer Store;Bar
Turkish Restaurant;Restaurant
Cuban Restaurant;Restaurant
Shoe Repair;Other
Comfort Food Restaurant;Restaurant
Skating Rink;Sports
Recreation Center;Entertainment
Pilates Studio;Sports
Flea Market;Store
